TimeSpent,AmountWorkers,MinTime,MaxTime
57,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
50,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
50,1,30,60
57,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
57,1,30,60
52,1,30,60
52,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
57,1,30,60
52,1,30,60
66,1,30,60
57,1,30,60
66,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
66,1,30,60
52,1,30,60
52,1,30,60
52,1,30,60
57,1,30,60
66,1,30,60
50,1,30,60
66,1,30,60
57,1,30,60
57,1,30,60
50,1,30,60
52,1,30,60
